         4913920 function calls (4584492 primitive calls) in 13.935 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4873    0.017    0.000    0.767    0.000 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\torch_layers.py:224(forward_actor)
     2101    0.036    0.000    0.700    0.000 E:\Python311\Lib\logging\handlers.py:183(shouldRollover)
     5011    0.061    0.000    0.697    0.000 F:\Ventura\env\Lib\site-packages\pandas\core\series.py:1095(__getitem__)
    21726    0.099    0.000    0.671    0.000 F:\Ventura\env\Lib\site-packages\torch\nn\modules\linear.py:124(forward)
        1    0.000    0.000    0.666    0.666 F:\Ventura\env\Lib\site-packages\torch\_dynamo\variables\builtin.py:1(<module>)
     8083    0.648    0.000    0.648    0.000 {built-in method nt.stat}
5034/5033    0.119    0.000    0.639    0.000 F:\Ventura\env\Lib\site-packages\pandas\core\series.py:389(__init__)
     2368    0.006    0.000    0.574    0.000 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\torch_layers.py:217(forward)
     5010    0.076    0.000    0.559    0.000 F:\Ventura\env\Lib\site-packages\pandas\util\_exceptions.py:34(find_stack_level)
    21726    0.536    0.000    0.536    0.000 {built-in method torch._C._nn.linear}
    40170    0.205    0.000    0.535    0.000 F:\Ventura\env\Lib\site-packages\torch\nn\modules\module.py:1935(__setattr__)
      320    0.008    0.000    0.529    0.002 F:\Ventura\env\Lib\site-packages\torch\optim\optimizer.py:467(wrapper)
720298/639955    0.304    0.000    0.517    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.516    0.516 F:\Ventura\env\Lib\site-packages\torch\_dynamo\variables\ctx_manager.py:1(<module>)
        1    0.000    0.000    0.516    0.516 F:\Ventura\env\Lib\site-packages\sympy\polys\__init__.py:1(<module>)
        1    0.000    0.000    0.500    0.500 F:\Ventura\env\Lib\site-packages\torch\_dynamo\variables\functions.py:1(<module>)
     4553    0.495    0.000    0.495    0.000 {built-in method torch.multinomial}
      320    0.005    0.000    0.484    0.002 F:\Ventura\env\Lib\site-packages\torch\optim\optimizer.py:72(_use_grad)
      320    0.004    0.000    0.477    0.001 F:\Ventura\env\Lib\site-packages\torch\optim\adam.py:189(step)
        1    0.000    0.000    0.461    0.461 F:\Ventura\env\Lib\site-packages\torch\distributed\_composable\__init__.py:1(<module>)
        1    0.000    0.000    0.455    0.455 F:\Ventura\env\Lib\site-packages\torch\distributed\_composable\fully_shard.py:1(<module>)
        1    0.000    0.000    0.453    0.453 F:\Ventura\env\Lib\site-packages\torch\distributed\fsdp\__init__.py:1(<module>)
     4873    0.104    0.000    0.451    0.000 F:\Ventura\env\Lib\site-packages\torch\distributions\distribution.py:41(__init__)
      848    0.007    0.000    0.436    0.001 <frozen importlib._bootstrap_external>:1127(get_data)
      320    0.001    0.000    0.435    0.001 F:\Ventura\env\Lib\site-packages\torch\optim\optimizer.py:140(maybe_fallback)
      320    0.003    0.000    0.433    0.001 F:\Ventura\env\Lib\site-packages\torch\optim\adam.py:717(adam)
      320    0.166    0.001    0.417    0.001 F:\Ventura\env\Lib\site-packages\torch\optim\adam.py:320(_single_tensor_adam)
        1    0.000    0.000    0.399    0.399 F:\Ventura\env\Lib\site-packages\torch\distributed\fsdp\_flat_param.py:1(<module>)
     2505    0.037    0.000    0.391    0.000 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\policies.py:236(obs_to_tensor)
